v_id,lon,lat,typ,voltage,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label
223,8.50194997433055,49.4448862228944,substation,220000;110000,0.0041841004184100415,0.003210643121737343,0.0,0.0006190375111187836,High
224,10.391776056934,48.5184609117668,substation,380000,0.006276150627615062,0.006398502155936724,0.0,0.0010352167345415726,Severe
225,7.95805402328778,47.5954722640613,substation,380000;220000,0.014644351464435145,0.005125933676032269,0.0003727972070910415,0.0020665345516422138,Severe
226,10.0837512706734,48.268867515302,substation,380000;220000;110000,0.008368200836820083,0.0013632681177386755,7.894529091339702e-05,0.0009632001995383363,Severe
227,9.88551509756969,48.3040743584705,substation,380000;220000;110000,0.010460251046025104,0.003456229646905437,6.578774242783085e-05,0.0012945805301681152,Severe
228,9.01340238045655,47.8453486310857,substation,220000;110000,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
229,8.25192548128222,47.6397698264894,substation,220000;110000,0.010460251046025104,0.001606690447789847,7.455944141820829e-05,0.0011772609579559176,Severe
230,9.19675652645089,48.9129634380259,substation,220000;110000,0.0041841004184100415,0.0013032830130073995,8.771698990377447e-06,0.0004978209030539218,Moderate
231,8.5471609252134,49.4405396661002,substation,220000;110000,0.0041841004184100415,0.002235194666824059,8.771698990377447e-06,0.0005606302422819134,High
232,6.13980655044038,49.6686113734605,substation,220000;65000,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
233,6.62053556843084,49.7489386710632,substation,220000,0.006276150627615062,0.0018462226331444108,1.3157548485566169e-05,0.0007394050231335124,High
234,10.4203895577612,52.1652004276784,substation,220000,0.0041841004184100415,0.0014177045935181523,1.7543397980754893e-05,0.000512869113058868,Moderate
235,10.4129154898186,52.1587766167586,substation,220000,0.0020920502092050207,0.002332557035298791,0.0,0.0003585332511127408,Moderate
236,6.70228540768092,49.8289944201161,substation,220000;110000,0.006276150627615062,0.006477949911694823,0.0,0.0010405713848690753,Severe
237,8.53151493939883,50.047874332134,substation,220000,0.0020920502092050207,0.001477500252449747,0.0,0.0003009038059682265,Low
238,8.4713716330449,50.0972077427754,substation,380000;110000,0.0041841004184100415,0.001685707807293834,8.771698990377447e-06,0.0005235957160795535,Moderate
239,8.06573796639762,50.4060681118621,substation,380000;110000,0.0020920502092050207,0.002560406774143381,0.0,0.00037388995523966934,Moderate
240,8.98953614977701,50.0602550608281,substation,380000;110000,0.0041841004184100415,0.0013133857310291567,0.0,0.0004911654295027201,Moderate
241,8.95870856177306,50.0826078105489,substation,380000;220000,0.012552301255230124,0.0029086135621645133,6.578774242783085e-05,0.001458994768184463,Severe
242,10.363384232266,47.7383368092793,substation,380000;220000,0.008368200836820083,0.001438455000807918,2.1929247475943617e-05,0.000920581201223248,Severe
243,7.46150025901999,51.6146143079042,generator,,0.0041841004184100415,0.001447002324220138,2.1929247475943616e-06,0.0005020050670248998,Moderate
244,7.71823231962748,51.6743422007117,generator,,0.0020920502092050207,0.0017140970508878715,0.0,0.0003168500477739766,Low
245,7.98122159643085,51.6735262619046,substation,380000;110000,0.0041841004184100415,0.0014514819833422563,0.0,0.0005004728937050662,Moderate
246,7.79256714933307,49.8105487811028,substation,220000;110000,0.0041841004184100415,0.0018140051226687702,0.0,0.0005249063673532401,Moderate
247,6.92013045452502,49.9705818904706,substation,220000;110000,0.0020920502092050207,0.0015065666193519837,0.0,0.0003028628321177665,Low
248,6.75552340556687,49.3648695914696,substation,220000,0.008368200836820083,0.0011276260770807197,0.0,0.0008812908831112654,Severe
249,9.88280429852399,51.5155074975239,substation,220000;110000,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
250,9.85139357253472,51.6491352399809,substation,220000;110000,0.0041841004184100415,0.001606690447789847,4.385849495188723e-06,0.0005146018835554585,Moderate
251,8.78579302528601,48.5837674015328,substation,380000;110000,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
