,v_id,lon,lat,voltage,typ,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label,eigen_centrality,closeness_centrality,clustering_coefficient,load_centrality,avg_shortest_path_length,average_neighbor_degree,node_strength
12677,3622,-112.539315343854,42.9048240664175,230000.0,station,0.00020014677430115418,3.529599380856688e-05,6.676900663902928e-08,1.0561769111786348e-05,Moderate,1.9202690137686194e-13,0.00021444297246552232,0.16666666666666666,6.676900663902928e-08,1.0,0.5,815437.0
12678,22093,-76.5097524189774,41.9147304191452,345000.0,joint,0.00020014677430115418,9.105864224617368e-05,0.0,1.4614845954792219e-05,Severe,1.1104789630773804e-249,0.0002456346775514165,0.0,0.0,0.0,0.0,847311.0
12679,11832,-77.6541523452431,38.7530376375908,312600.0,station,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,0.5,0.0,282437.0
12680,19586,-94.6998913207119,38.9151675051403,274000.0,joint,0.00020014677430115418,6.547784606836014e-05,1.7805068437074475e-08,1.2744147260523515e-05,High,1.588578602063595e-262,0.00015249278041992698,0.0,1.7805068437074475e-08,0.5,0.0,847311.0
12681,6697,-78.7057816058234,35.6456764379491,253000.0,substation,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,3.6923076923076925,0.5,460000.0
12682,20248,-121.006624482457,39.1411290034906,446000.0,joint,0.0001334311828674361,0.00015558665414287952,0.0,1.6740341279645456e-05,Severe,1.4164451486877058e-05,0.000399032600997891,0.0,0.0,0.0,0.0,564874.0
12683,29819,-72.647696177789,46.5000106044454,253000.0,joint,0.0002668623657348722,0.0001236328083015958,0.0,1.9650272748976697e-05,Severe,3.594498262108223e-21,0.00031788017094889196,0.08333333333333333,0.0,0.0,0.0,1129748.0
12684,11924,-84.4432900565154,42.2528079330548,193200.0,station,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,0.6666666666666666,0.0,564874.0
12685,1990,-76.622215384467,36.7246757909487,299000.0,substation,0.00020014677430115418,3.418545771163054e-05,5.25249518893697e-07,1.0886444712061144e-05,High,2.412793828909795e-256,0.00013899081548691264,0.16666666666666666,2.2256335546343095e-08,5.533333333333333,0.5,460000.0
12686,29096,-80.2422459528139,43.1361005655749,284000.0,merge,6.671559143371805e-05,4.265084188353226e-05,0.0,5.778543914167732e-06,Low,5.526638030352534e-276,6.671559143371805e-05,0.0,0.0,0.0,0.0,282437.0
12687,27917,-80.8970674032597,35.5500622830217,230000.0,joint,0.00020014677430115418,2.9898388059909108e-05,0.0,1.0104506163811318e-05,Moderate,4.076600580168082e-283,0.0,0.0,0.0,1.6666666666666667,1.0,847311.0
